Node,Latitude,Longitude,Section,Feeder
hn828160037w11,34.82428,134.84239,5,21.0
hn828160037w12,34.82418,134.84202,5,21.0
hn828160037w13,34.82405,134.84162,5,21.0
hn828160038,34.82555,134.84672,5,21.0
hn828160045w07,34.8229,134.84499,5,21.0
hn828160045w08,34.82272,134.8446,5,21.0
hn828160045w09,34.82257,134.84413,5,21.0
hn828160045w10,34.82248,134.84378,5,21.0
hn828160045w11,34.82242,134.84347,5,21.0
hn828160045w12,34.82249,134.8432,5,21.0
hn828160045w13,34.82262,134.84286,5,21.0
hn828160045w14,34.82278,134.84244,5,21.0
hn828160045w14s1,34.8226,134.84233,5,21.0
hn828160045w14s2,34.8221,134.84217,5,21.0
hn828160045w15,34.82296,134.84214,5,21.0
hn828160045w16,34.82317,134.84179,5,21.0
hn828160045w17,34.82337,134.84142,5,21.0
hn828160045w18,34.82349,134.84113,5,21.0
hn824100014n05e3,34.81579,134.82646,2,21.0
hn824100014n05e4,34.81571,134.82643,2,21.0
hn824100014n05e5,34.81558,134.82673,2,21.0
hn824100014n05e6,34.8154,134.82717,2,21.0
hn824100014n06g1,34.81602,134.82562,1,21.0
hn824100020g05w2,34.81526,134.82754,2,21.0
hn824400015,34.82064,134.82935,3,21.0
hn824400015s01,34.8205,134.82959,3,21.0
hn824400015s02,34.82026,134.82957,3,21.0
hn824400015s03,34.81996,134.82951,3,21.0
hn824400015s04,34.8197,134.82945,3,21.0
hn824400015s05,34.81942,134.82938,3,21.0
hn824400015s06,34.81906,134.82929,3,21.0
hn824400015s06e1,34.81915,134.82946,3,21.0
hn824400015s06e2,34.81911,134.82976,3,21.0
hn824400015s06e3,34.81895,134.83005,3,21.0
hn824400015s07,34.81862,134.82917,3,21.0
hn824400015s08,34.81822,134.82905,3,21.0
hn824400015s08e1,34.81823,134.82912,3,21.0
hn824400015s08e2,34.81808,134.82944,3,21.0
hn824400015s08e3,34.81801,134.82989,3,21.0
hn824400015s08e3s1,34.81793,134.82978,3,21.0
hn824400015s08e3s2,34.8178,134.82972,3,21.0
hn824400015s08e3s3,34.81767,134.82989,3,21.0
hn824400015s09,34.81797,134.82899,3,21.0
hn824400015s10,34.81769,134.82892,3,21.0
hn824400015s11,34.81718,134.82877,3,21.0
hn824400015s11e1,34.8171,134.82884,3,21.0
hn824400015s11e2,34.81705,134.82913,3,21.0
hn824400015s11e3,34.81698,134.82941,3,21.0
hn824400015s12,34.81687,134.8287,3,21.0
hn824400015s13,34.81646,134.82849,3,21.0
hn824400015s14,34.81609,134.82824,3,21.0
hn824400015s15,34.8157,134.82796,3,21.0
hn824400015s16,34.81533,134.82775,3,21.0
hn824400015n01,34.82074,134.8296,3,21.0
hn824400015n02,34.82098,134.82987,3,21.0
hn824400015n02n1,34.82133,134.82974,3,21.0
hn824400015n02n2,34.82153,134.82965,3,21.0
hn824400015n02n3,34.82191,134.82954,3,21.0
hn824400015n02n4,34.82235,134.82938,3,21.0
hn824400015n02n5,34.82269,134.82926,3,21.0
hn824400016,34.82053,134.82973,3,21.0
hn824400017,34.82043,134.8301,3,21.0
hn824400018,34.82034,134.83052,3,21.0
hn824400019,34.82027,134.83095,3,21.0
hn824400020,34.82019,134.8314,3,21.0
hn824400020s01,34.81996,134.83125,3,21.0
hn824400021,34.82075,134.83173,3,21.0
hn824400022,34.82101,134.83177,3,21.0
hn824400022n01,34.82107,134.83185,3,21.0
hn824400029,34.82329,134.83274,3,21.0
hn824400023,34.82149,134.83176,3,21.0
hn824400024,34.82196,134.83186,3,21.0
hn824400025,34.82219,134.832,3,21.0
hn824400026,34.82237,134.83224,3,21.0
hn824400027,34.82259,134.8326,3,21.0
hn824400030,34.82371,134.83312,3,21.0
hn824400031,34.82405,134.83345,3,21.0
hn824400032,34.82442,134.8338,3,21.0
hn824400036,34.82525,134.83332,3,21.0
hn824400033,34.82466,134.83393,3,21.0
hn824400034,34.82486,134.83371,3,21.0
hn824400035,34.82507,134.83348,3,21.0
hn824400036s01,34.8251,134.83327,3,21.0
hn824400036s02,34.82483,134.83292,3,21.0
hn824400036s03,34.82456,134.83255,3,21.0
hn824400037,34.82545,134.8331,3,21.0
hn824400038,34.82569,134.83284,3,21.0
hn824400039,34.82593,134.83258,3,21.0
hn824400039s01,34.82577,134.83255,3,21.0
hn824400039s02,34.82558,134.83229,3,21.0
hn824400039s03,34.8254,134.83204,3,21.0
hn824400039s04,34.82521,134.83178,3,21.0
hn824400039s05,34.82503,134.83155,3,21.0
hn824400039s06,34.8249,134.83137,3,21.0
hn824400039s07,34.82471,134.83112,3,21.0
hn824400039s08,34.82456,134.83093,3,21.0
hn824400040,34.82616,134.83233,3,21.0
hn824400041,34.82638,134.83206,3,21.0
hn825000033,34.82293,134.83511,4,21.0
hn825000032w05,34.82323,134.83401,4,21.0
hn825000032w04,34.8233,134.83442,4,21.0
hn825000004e01,34.83289,134.83911,6,21.0
hn825000004e02,34.83294,134.8396,6,21.0
hn825000004e03,34.83289,134.83986,6,21.0
hn825000004e03s1,34.83251,134.83953,6,21.0
hn825000004e03s2,34.83224,134.83946,6,21.0
hn825000004e04,34.83287,134.84022,6,21.0
hn825000004e04n1,34.83307,134.84052,6,21.0
hn825000004e04n2,34.83329,134.84054,6,21.0
hn825000004e04n3,34.83374,134.84057,6,21.0
hn825000004e04n4,34.83431,134.8406,6,21.0
hn825000004e04n4e1,34.83423,134.84071,6,21.0
hn825000004e04n4e2,34.83421,134.84115,6,21.0
hn825000004e05,34.83287,134.84056,6,21.0
hn825000004e06,34.83283,134.84092,6,21.0
hn825000004e06g1,34.8327,134.84118,6,21.0
hn825000004e07,34.83243,134.84137,6,21.0
hn825000004e07n1,34.83281,134.84153,6,21.0
hn825000004e07n2,34.8328,134.84168,6,21.0
hn825000004e08,34.83227,134.84152,6,21.0
hn825000004e09,34.83199,134.84175,6,21.0
hn825000004e09g1,34.83169,134.84174,6,21.0
hn825000004e10g1,34.83156,134.84221,6,21.0
hn825000004e12,34.83144,134.84259,6,21.0
hn825000004e13e1,34.83111,134.84333,6,21.0
hn825000004e13e5s1,34.83014,134.84466,6,21.0
hn825000004e13,34.83126,134.84299,6,21.0
hn825000004e13e2,34.83083,134.84355,6,21.0
hn825000004e13e3,34.83054,134.84377,6,21.0
hn825000004e13e4,34.83032,134.84414,6,21.0
hn825000004e13e5,34.83029,134.8446,6,21.0
hn825000004e13e5s2,34.82977,134.84485,6,21.0
hn825000004e13e5s3,34.82937,134.84511,6,21.0
hn825000004e13e5s5,34.8289,134.84522,6,21.0
hn825000004e13e5s6,34.82862,134.84526,6,21.0
hn825000004e13e6,34.83026,134.845,6,21.0
hn825000004e13e7,34.83019,134.84527,6,21.0
hn825000004e13e8,34.83003,134.84569,6,21.0
hn825000004e13e8n1,34.83039,134.84576,5,21.0
hn825000004e13g1,34.83131,134.84317,6,21.0
hn825000004e13g2,34.8314,134.8434,6,21.0
hn825000004e13g2e1,34.83132,134.84345,6,21.0
hn825000004e15,34.83144,134.8437,6,21.0
hn825000004e16,34.8316,134.84414,6,21.0
hn825000004e17,34.83177,134.8446,6,21.0
hn825000004e18,34.8318,134.84479,5,21.0
hn825000004e19,34.83162,134.84527,5,21.0
hn825000004e20,34.83143,134.84577,5,21.0
hn825000004e21,34.83125,134.84626,5,21.0
hn825000004e21s1,34.83117,134.84599,5,21.0
hn825000004e21s2,34.83072,134.84587,5,21.0
hn825000032w03,34.82331,134.83422,4,21.0
hn825000032w02n3,34.82426,134.83443,4,21.0
hn825000032w02n2,34.82385,134.83461,4,21.0
hn825000032w02n1,34.82351,134.83475,4,21.0
hn825000032w02,34.82339,134.83464,4,21.0
hn825000032w01,34.82346,134.83507,4,21.0
hn825000032,34.82333,134.83522,4,21.0
hn825000031,34.82374,134.83534,4,21.0
hn825000030w03,34.82477,134.83461,4,21.0
hn825000030w02,34.82452,134.8349,4,21.0
hn825000030w01,34.82426,134.8352,4,21.0
hn825000030,34.82411,134.83544,4,21.0
hn825000029,34.82431,134.83549,4,21.0
hn825000028w03,34.82558,134.83494,4,21.0
hn825000028w02,34.82531,134.83521,4,21.0
hn825000028w01,34.82507,134.83544,4,21.0
hn825000028,34.82484,134.83565,4,21.0
hn825000027,34.82506,134.8357,4,21.0
hn825000026,34.82535,134.83578,4,21.0
hn825000025e01,34.82566,134.83595,4,21.0
hn825000025,34.82574,134.8359,4,21.0
hn825000024,34.82594,134.83596,4,21.0
hn825000023,34.82607,134.83602,4,21.0
hn825000022,34.82635,134.83614,4,21.0
hn825000021,34.82653,134.83611,4,21.0
hn825000020,34.82682,134.83627,4,21.0
hn825000019,34.82721,134.83647,4,21.0
hn825000018,34.82766,134.83671,4,21.0
hn825000017,34.82803,134.83692,4,21.0
hn825000016,34.82844,134.83714,4,21.0
hn825000015,34.82886,134.83737,4,21.0
hn825000014,34.82918,134.83756,4,21.0
hn825000013,34.82948,134.83772,4,21.0
hn825000012,34.82983,134.83792,4,21.0
hn825000011,34.83016,134.8381,4,21.0
hn825000010e01,34.83066,134.83868,4,21.0
hn825000010,34.83069,134.83834,4,21.0
hn825000009,34.83102,134.83855,4,21.0
hn825000008,34.83128,134.83866,4,21.0
hn825000007,34.83168,134.83878,4,21.0
hn825000006,34.8322,134.83879,4,21.0
hn825000005,34.83249,134.83877,4,21.0
hn825000004w08,34.83161,134.8354,4,21.0
hn825000004w07n2,34.83194,134.83512,4,21.0
hn825000004w07n1,34.83167,134.83542,4,21.0
hn825000004w07,34.83187,134.83574,4,21.0
hn825000004w06,34.8321,134.83607,4,21.0
hn825000004w05n4,34.83306,134.83552,4,21.0
hn825000004w05n3,34.8328,134.83579,4,21.0
hn825000004w05n2,34.83254,134.83608,4,21.0
hn825000004w05n1,34.83227,134.83624,4,21.0
hn825000004w05,34.83221,134.83641,4,21.0
hn825000004w04,34.83234,134.83677,4,21.0
hn825000004w03s6w2,34.83093,134.83618,4,21.0
hn825000004w03s6w1,34.83073,134.8364,4,21.0
hn825000004w03s6,34.83075,134.83651,4,21.0
hn825000004w03s5,34.83105,134.83658,4,21.0
hn825000004w03s4,34.8314,134.83667,4,21.0
hn825000004w03s3,34.83175,134.83675,4,21.0
hn825000004w03s2,34.83211,134.83683,4,21.0
hn825000004w03s1,34.83233,134.83686,4,21.0
hn825000004w03n3,34.83308,134.83698,4,21.0
hn825000004w03n2,34.83277,134.83693,4,21.0
hn825000032w02n4,34.82439,134.83436,3,21.0
hn825000032w02n5,34.8243,134.83432,3,21.0
hn825000004w03n1,34.83248,134.83688,4,21.0
hn825000004w03,34.83248,134.83724,4,21.0
hn825000004w02,34.8326,134.83762,4,21.0
hn825000004w01,34.83277,134.83818,4,21.0
hn825000004,34.83288,134.83872,4,21.0
hn825000003,34.83323,134.83861,4,21.0
hn825000002,34.83359,134.83849,4,21.0
hn825080037e12,34.81578,134.82622,2,21.0
hn825210001,34.82656,134.84646,5,21.0
hn825210003,34.82657,134.84722,5,21.0
hn825210004,34.82663,134.84761,5,21.0
hn825210004e01,34.82655,134.84783,5,21.0
hn825210004e01n1,34.82678,134.84788,5,21.0
hn825210004e01n2,34.827,134.8479,5,21.0
hn825210004e01n3,34.82737,134.84792,5,21.0
hn825210004e01n4,34.82766,134.84795,5,21.0
hn825210004e01n5,34.82803,134.84801,5,21.0
hn825210004e01n6,34.82831,134.84805,5,21.0
hn825210004e01n7,34.82851,134.84771,5,21.0
hn825210004s01,34.82621,134.84773,5,21.0
hn825210004s01w1,34.82608,134.84741,5,21.0
hn825210004s01w3,34.82582,134.84687,5,21.0
hn825210004s02,34.82594,134.84785,5,21.0
hn825210004s03,34.8255,134.84801,5,21.0
hn825210004s03e1,34.82563,134.84802,5,21.0
hn825210004s03e2,34.82585,134.84839,5,21.0
hn825210004s03e3,34.82608,134.84878,5,21.0
hn825210004s03e4,34.82635,134.84923,5,21.0
hn825210004s03e5,34.82661,134.84966,5,21.0
hn825210005,34.82699,134.84755,5,21.0
hn825210008e01,34.82847,134.84811,5,21.0
hn825210009,34.82875,134.84738,5,21.0
hn825210002,34.82651,134.84682,5,21.0
hn825210004s01w2,34.82593,134.84709,5,21.0
hn825210010,34.82892,134.84713,5,21.0
hn825210010n02,34.82921,134.84748,5,21.0
hn825210011,34.8291,134.84688,5,21.0
hn825210012,34.82924,134.84667,5,21.0
hn825210013g01,34.82943,134.84647,5,21.0
hn825210014,34.82969,134.84631,5,21.0
hn825210015,34.82986,134.84601,5,21.0
hn825210010n01,34.82912,134.84725,5,21.0
hn825380001,34.83116,134.84675,5,21.0
hn825380002,34.83101,134.84722,5,21.0
hn825380003,34.83085,134.84759,5,21.0
hn825380004,34.83086,134.84809,5,21.0
hn825380005,34.8309,134.84856,5,21.0
hn825380007,34.83068,134.84946,5,21.0
hn825380008,34.83037,134.8498,5,21.0
hn825380009,34.83023,134.85004,5,21.0
hn825380010,34.83022,134.85029,5,21.0
hn825380011,34.83023,134.85072,5,21.0
hn825380012,34.82991,134.85092,5,21.0
hn825380013,34.82975,134.85116,5,21.0
hn825380014,34.82993,134.85152,5,21.0
hn825380015,34.83009,134.85199,5,21.0
hn825380016,34.82986,134.85234,5,21.0
hn825380017,34.82973,134.85285,5,21.0
hn825380018,34.82949,134.8531,5,21.0
hn825380019,34.82937,134.85327,5,21.0
hn825380020,34.82934,134.85356,5,21.0
hn825380021,34.82928,134.85401,5,21.0
hn825380022,34.82894,134.85411,5,21.0
hn825380023,34.82879,134.85423,5,21.0
hn825380024,34.82857,134.85461,5,21.0
hn825380025,34.82816,134.8547,5,21.0
hn825380026,34.82797,134.85476,5,21.0
hn825380027,34.8279,134.85501,5,21.0
hn825380028,34.828,134.85532,5,21.0
hn825380029,34.82831,134.85548,5,21.0
hn825380030,34.82852,134.85548,5,21.0
hn825380031,34.82873,134.85548,5,21.0
hn825380032,34.82888,134.85568,5,21.0
hn825380033,34.82907,134.85585,5,21.0
hn825380034,34.82928,134.85565,5,21.0
hn825380035,34.82948,134.85574,5,21.0
hn825380036,34.82966,134.85607,5,21.0
hn825380037,34.82984,134.85614,5,21.0
hn825380038,34.83007,134.85614,5,21.0
hn825380039,34.83028,134.85593,5,21.0
hn825380040,34.83043,134.85569,5,21.0
hn825380041,34.83051,134.85547,5,21.0
hn825380042,34.83053,134.85519,5,21.0
hn825380043,34.83056,134.85494,5,21.0
hn825380044,34.8308,134.85494,5,21.0
hn825380045,34.83111,134.85487,5,21.0
hn825380046,34.8314,134.85486,5,21.0
hn825380006,34.83075,134.84902,5,21.0
hn827230057e03,34.83653,134.83937,6,21.0
hn827230057e04,34.83622,134.83944,6,21.0
hn827230057e05,34.83592,134.83949,6,21.0
hn827230057e05e1,34.83607,134.83961,6,21.0
hn827230057e05e2,34.83608,134.83993,6,21.0
hn827230057e05e3,34.83606,134.84011,6,21.0
hn827230057e05e4,34.83602,134.84028,6,21.0
hn827230057e05e5,34.83591,134.84057,6,21.0
hn827230057e05e6,34.83591,134.84091,6,21.0
hn827230057e05e7,34.83584,134.84113,6,21.0
hn827230057e05e8,34.83573,134.84144,6,21.0
hn827230057e05e9,34.83589,134.8416,6,21.0
hn827230057e05e9g1,34.83597,134.84191,6,21.0
hn827230057e05e9g2,34.83604,134.84227,6,21.0
hn827230057e05e9g3,34.83615,134.84216,6,21.0
hn827230057e06,34.83548,134.83958,6,21.0
hn827230057e07,34.83513,134.83966,6,21.0
hn827230057e08,34.83478,134.83972,6,21.0
hn827230057e09,34.83448,134.83977,6,21.0
hn827230057e10,34.83425,134.83972,6,21.0
hn827230057e11,34.83371,134.8398,6,21.0
hn827230057e12,34.83335,134.83978,6,21.0
hn827230057e14,34.83263,134.83944,6,21.0
hn828160014s10,34.82167,134.8349,8,22.0
hn828160014s10n1,34.82193,134.83499,8,22.0
hn829340001e01,34.81431,134.83346,7,22.0
hn829340002,34.81396,134.83346,7,22.0
hn829340003,34.81352,134.83338,7,22.0
hn829340004,34.81315,134.83316,7,22.0
hn829340004g01,34.81286,134.83314,7,22.0
hn829340004g02,34.81259,134.83313,7,22.0
hn829340005,34.81235,134.83312,7,22.0
hn829340005e01,34.81246,134.83319,7,22.0
hn829340005e01n1,34.81255,134.83334,7,22.0
hn829340005e02,34.81244,134.83369,7,22.0
hn829340005e02n1,34.81268,134.83386,7,22.0
hn829340005e03,34.81243,134.83407,7,22.0
hn829340005e03n1,34.81274,134.83423,7,22.0
hn829340005e03n2,34.81309,134.83439,7,22.0
hn829340005e03n3,34.81325,134.83439,7,22.0
hn829340005e03n4,34.81341,134.83439,7,22.0
hn829340005e04,34.81222,134.83433,7,22.0
hn829340005e04n1,34.81242,134.83424,7,22.0
hn829340005e04n2,34.8126,134.83434,7,22.0
hn829340005e05,34.81198,134.83466,7,22.0
hn829340005e05w1,34.81188,134.83448,7,22.0
hn829340005e05w2,34.8119,134.83406,7,22.0
hn829340005e06,34.81195,134.83522,7,22.0
hn829340005e07,34.81196,134.83547,7,22.0
hn829340005e07n1,34.8121,134.83553,7,22.0
hn829340005e07n1n1,34.81225,134.83566,7,22.0
hn829340005e07n2,34.81221,134.83536,7,22.0
hn829340005e07n3,34.81233,134.83533,7,22.0
hn829340005e07n4,34.81248,134.83539,7,22.0
hn829340005e07n5,34.81262,134.83547,7,22.0
hn829340005e07n6,34.81292,134.83515,7,22.0
hn829340005e07n7,34.81305,134.83508,7,22.0
hn829340005e08,34.81181,134.83586,7,22.0
hn829340005e08s1,34.81154,134.83578,7,22.0
hn829340005e09,34.81165,134.83625,7,22.0
hn829340005w01,34.81247,134.83306,7,22.0
hn829340005w02,34.81249,134.83271,7,22.0
hn829340005w03,34.81252,134.83226,7,22.0
hn829340005w04,34.81253,134.83191,7,22.0
hn829340005w04n1,34.813,134.832,7,22.0
hn829340005w05,34.81251,134.83158,7,22.0
hn829340005w06,34.8125,134.83133,7,22.0
hn829340005w07,34.81256,134.83126,7,22.0
hn829340005w08,34.81282,134.83122,7,22.0
hn829340006,34.8122,134.83315,7,22.0
hn829340007,34.8118,134.83307,7,22.0
hn829340007s01,34.81145,134.8329,7,22.0
hn829340007s02,34.81118,134.8327,7,22.0
hn829340007s03,34.81089,134.83245,7,22.0
hn829340007s04,34.81064,134.83219,7,22.0
hn829340007s05,34.81053,134.83208,7,22.0
hn829340007s05e1,34.81043,134.83208,7,22.0
hn829340007s05e2,34.81032,134.83224,7,22.0
hn829340007s05e3,34.8101,134.83257,7,22.0
hn829340007s05e3s1,34.80993,134.83259,7,22.0
hn829340007s05e3s2,34.80969,134.83234,7,22.0
hn829340007s05e3s3,34.80946,134.83212,7,22.0
hn829340007s05e3s4,34.80922,134.83187,7,22.0
hn829340008,34.81164,134.83345,7,22.0
hn829340009,34.81128,134.8337,7,22.0
hn829340011e02,34.81109,134.83552,7,22.0
hn829340005w04n2,34.81329,134.8321,7,22.0
hn820690005,34.81634,134.8352,8,22.0
hn820690007,34.81698,134.83503,8,22.0
hn820690008,34.81739,134.83496,8,22.0
hn820690009,34.81776,134.83495,8,22.0
hn820690011,34.81831,134.83506,8,22.0
hn820690012w01,34.81863,134.83511,8,22.0
hn820690012w02,34.81889,134.83474,8,22.0
hn820690012w02s1,34.81884,134.83463,8,22.0
hn820690012w02s2,34.81873,134.83441,8,22.0
hn820690012w02s3,34.81867,134.83422,8,22.0
hn820690012w03e1,34.81917,134.83443,8,22.0
hn820690014,34.81931,134.8355,8,22.0
hn820690016,34.8199,134.83554,8,22.0
hn820690017,34.82025,134.83544,8,22.0
hn820690004,34.81596,134.83529,8,22.0
hn820690006,34.81673,134.8351,8,22.0
hn820690010,34.81807,134.835,8,22.0
hn820690012,34.8187,134.83524,8,22.0
hn820690012w02s4,34.81868,134.83402,8,22.0
hn820690013,34.81899,134.83538,8,22.0
hn820690015,34.81964,134.83556,8,22.0
hn824100001,34.81249,134.82024,4,22.0
hn824100001n01,34.81279,134.82046,4,22.0
hn824100002,34.81249,134.82094,4,22.0
hn824100002s01,34.8122,134.82082,4,22.0
hn824100002s02,34.81207,134.8203,4,22.0
hn824100003,34.81251,134.82146,4,22.0
hn824100003s01,34.81223,134.82131,4,22.0
hn824100004,34.8125,134.82194,4,22.0
hn824100004s01,34.81201,134.82173,4,22.0
hn824100004s01w1,34.81189,134.82133,4,22.0
hn824100004s01w2,34.81162,134.82108,4,22.0
hn824100004s01w3,34.81128,134.82091,4,22.0
hn824100004s01g1,34.81188,134.82183,4,22.0
hn824100004s01g1e1,34.8119,134.82225,4,22.0
hn824100004s02,34.81149,134.82186,4,22.0
hn824100004s02g1,34.81147,134.82151,4,22.0
hn824100004s03,34.8112,134.82192,4,22.0
hn824100004s04,34.81093,134.82203,4,22.0
hn824100004s05,34.81054,134.82225,4,22.0
hn824100004s06,34.81031,134.8224,4,22.0
hn824100004s07e1s1,34.81027,134.82337,4,22.0
hn824100004s07e1s2,34.80992,134.82356,4,22.0
hn824100004s07e2,34.8104,134.82319,4,22.0
hn824100004s07e3,34.81065,134.82384,4,22.0
hn824100004n01,34.81226,134.82224,4,22.0
hn824100004n02,34.81195,134.8225,4,22.0
hn824100004n03,34.81164,134.82272,4,22.0
hn824100005,34.81281,134.8221,4,22.0
hn824100005w01,34.81302,134.82165,4,22.0
hn824100005w02,34.81298,134.82113,4,22.0
hn824100006,34.81322,134.82225,4,22.0
hn824100006g01,34.81346,134.82231,4,22.0
hn824100007,34.81374,134.82225,4,22.0
hn824100007n01,34.81407,134.82222,4,22.0
hn824100007n02,34.81455,134.82238,4,22.0
hn824100007n03,34.81486,134.82259,4,22.0
hn824100007n04,34.81519,134.82284,4,22.0
hn824100007n05,34.81552,134.82309,4,22.0
hn824100007n06,34.81567,134.8232,4,22.0
